product,rating,rating count,price,product url
Womens Cropped Slim Athletic Yoga Workout Track Sports Zip Up  Jacket  with Thumb Holes  ,4.8 out of 5 stars,43  ,21.96,https://amazon.com/Fenclushy-Womens-Cropped-Athletic-Workout/dp/B0BPXS6RYF/ref=sr_1_56?keywords=jacket&qid=1682035544&sr=8-56
Women's Benton Springs Full Zip  ,4.7 out of 5 stars,"53,923  ",44.99,https://amazon.com/Columbia-Womens-Plus-Size-Benton-Springs/dp/B003NX8COC/ref=sr_1_57?keywords=jacket&qid=1682035544&sr=8-57
Women's James Quilted  Jacket  ,4.0 out of 5 stars,12  ,39.95,https://amazon.com/Drop-Womens-James-Quilted-Jacket/dp/B0B73DH3HJ/ref=sr_1_58?keywords=jacket&qid=1682035544&sr=8-58
Men's Journeyman Shirt  Jacket  ,4.4 out of 5 stars,"15,974  ",86.39,https://amazon.com/Legendary-Whitetails-Journeyman-Jacket-X-Large/dp/B013KW3FH4/ref=sr_1_59?keywords=jacket&qid=1682035544&sr=8-59
Men's Unlined Eisenhower  Jacket  ,4.4 out of 5 stars,"2,210  ",58.61,https://amazon.com/Dickies-Unlined-Eisenhower-Jacket-Black/dp/B000N8RZ34/ref=sr_1_60?keywords=jacket&qid=1682035544&sr=8-60
iflex by Cherokee Uniforms Zip Front Scrub Jackets for Women CK303  ,4.6 out of 5 stars,"8,581  ",36.98,https://amazon.com/Cherokee-iFlex-CK303-Warm-Up-Jacket/dp/B01JDBEZ7U/ref=sr_1_61?keywords=jacket&qid=1682035544&sr=8-61
Girls' Denim Trucker  Jacket  ,4.6 out of 5 stars,"1,037  ",23.0,https://amazon.com/Levis-Girls-Denim-Trucker-Jacket/dp/B07LFQPTZQ/ref=sr_1_62?keywords=jacket&qid=1682035544&sr=8-62
Women's Brushed Tech Stretch Full-Zip  Jacket  (Available in Plus Size)  ,4.5 out of 5 stars,"2,119  ",30.9,https://amazon.com/Amazon-Essentials-Brushed-Stretch-Full-Zip/dp/B07FFV6WMB/ref=sr_1_64?keywords=jacket&qid=1682035544&sr=8-64
Men's Flight Bomber  Jacket  Casual Lightweight Softshell Windbreaker Slim Fit Varsity  Jacket  Coat  ,4.4 out of 5 stars,154  ,29.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A096212436E1O48AI2017&qualifier=1682035544&id=5437074494723427&widgetName=sp_mtf&url=%2FAnzerll-Lightweight-Softshell-Windbreaker-Varsity%2Fdp%2FB0B3Y981S9%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Djacket%26qid%3D1682035544%26sr%3D8-65-spons%26psc%3D1
Men's Lightweight Waterproof Hooded Rain  Jacket  Outdoor Raincoat Shell  Jacket  for Hiking Travel  ,4.6 out of 5 stars,"11,732  ",39.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A062045811QDK65KEIXT1&qualifier=1682035544&id=5437074494723427&widgetName=sp_mtf&url=%2FLightweight-Waterproof-Hooded-Outdoor-Raincoat%2Fdp%2FB08F9W2M7S%2Fref%3Dsr_1_66_sspa%3Fkeywords%3Djacket%26qid%3D1682035544%26sr%3D8-66-spons%26psc%3D1
